Coin,Name
BTC,Bitcoin
ETH,Ethereum
USDT,Tether
USDC,USD Coin
BNB,BNB
XRP,XRP
BUSD,Binance USD
ADA,Cardano
SOL,Solana
DOGE,Dogecoin
DOT,Polkadot
WBTC,Wrapped Bitcoin
TRX,TRON
AVAX,Avalanche
DAI,Dai
SHIB,Shiba Inu
MATIC,Polygon
LTC,Litecoin
LEO,UNUS SED LEO
CRO,Cronos
NEAR,NEAR Protocol
UNI,Uniswap
FTT,FTX Token
BCH,Bitcoin Cash
XMR,Monero
XLM,Stellar
LINK,Chainlink
ETC,Ethereum Classic
ATOM,Cosmos
FLOW,Flow
ALGO,Algorand
APE,ApeCoin
VET,VeChain
HBAR,Hedera
MANA,Decentraland
EGLD,Elrond
XTZ,Tezos
ICP,Internet Computer
FIL,Filecoin
SAND,The Sandbox
KCS,KuCoin Token
AAVE,Aave
ZEC,Zcash
EOS,EOS
KLAY,Klaytn
AXS,Axie Infinity
MKR,Maker
THETA,Theta Network
TUSD,TrueUSD
HT,Huobi Token
GRT,The Graph
FTM,Fantom
BTT,BitTorrent-New
UST,TerraUSD
BSV,Bitcoin SV
RUNE,THORChain
USDP,Pax Dollar
XEC,eCash
MIOTA,IOTA
HNT,Helium
CAKE,PancakeSwap
GMT,STEPN
NEO,Neo
USDN,Neutrino USD
LRC,Loopring
QNT,Quant
OKB,OKB
STX,Stacks
NEXO,Nexo
CHZ,Chiliz
KSM,Kusama
DASH,Dash
CVX,Convex Finance
ZIL,Zilliqa
PAXG,PAX Gold
CELO,Celo
ENJ,Enjin Coin
WAVES,Waves
BAT,Basic Attention Token
CRV,Curve DAO Token
GALA,Gala
ONE,Harmony
AMP,Amp
USDD,USDD
GNO,Gnosis
KAVA,Kava
MINA,Mina
DCR,Decred
XDC,XDC Network
AR,Arweave
COMP,Compound
XEM,NEM
HOT,Holo
GT,GateToken
KDA,Kadena
QTUM,Qtum
FEI,Fei USD
BTG,Bitcoin Gold
1INCH,1inch Network
KNC,Kyber Network Crystal v2
BORA,BORA
IOTX,IoTeX
GLMR,Moonbeam
ICX,ICON
OMG,OMG Network
ROSE,Oasis Network
ZRX,0x
LDO,Lido DAO
TFUEL,Theta Fuel
BNT,Bancor
AUDIO,Audius
XYM,Symbol
YFI,yearn.finance
JST,JUST
IOST,IOST
LPT,Livepeer
SCRT,Secret
ANKR,Ankr
RVN,Ravencoin
CHSB,SwissBorg
SRM,Serum
SNX,Synthetix
SKL,SKALE Network
GUSD,Gemini Dollar
SC,Siacoin
ELON,Dogelon Mars
WAXP,WAX
GLM,Golem
ZEN,Horizen
ONT,Ontology
SXP,SXP
ENS,Ethereum Name Service
NFT,APENFT
UMA,UMA
RNDR,Render Token
IMX,Immutable X
BTRST,Braintrust
MXC,MXC
STORJ,Storj
VGX,Voyager Token
POLY,Polymath
SUSHI,SushiSwap
HIVE,Hive
PLA,PlayDapp
WOO,WOO Network
RENBTC,renBTC
ILV,Illuvium
TWT,Trust Wallet Token
DGB,DigiByte
CSPR,Casper
CEL,Celsius
RLY,Rally
KEEP,Keep Network
FLUX,Flux
ACA,Acala Token
CFX,Conflux
LSK,Lisk
CKB,Nervos Network
